locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
18425	NP_206803.1	15644635	11	633	217	-	HP0001	HP0001	hypothetical protein (NCBI ptt file)	COG781	K	Transcription termination factor	TIGR01951 transcription antitermination factor NusB [nusB]	Transcription:Transcription factors	GO:0006353,GO:0006355,GO:0003715,GO:0003723		
18426	NP_206804.1	15644636	11	1105	635	-	HP0002	ribE	riboflavin synthase beta chain (ribE) (NCBI ptt file)	COG54	H	Riboflavin synthase beta-chain	TIGR00114 6,7-dimethyl-8-ribityllumazine synthase [ribH]	Biosynthesis of cofactors, prosthetic groups, and carriers:Riboflavin, FMN, and FAD	GO:0009231,GO:0009349,GO:0004746	2.5.1.-,6.3.3.-	,
18427	NP_206805.1	15644637	11	1945	1115	-	HP0003	kdsA	3-deoxy-d-manno-octulosonic acid 8-phosphate synthetase (kdsA) (NCBI ptt file)	COG2877	M	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase	TIGR01362 3-deoxy-8-phosphooctulonate synthase [kdsA]	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0009058,GO:0005737,GO:0008676	2.5.1.55	3-deoxy-8-phosphooctulonate synthase.
18428	NP_206806.1	15644638	11	2597	1932	-	HP0004	icfA	carbonic anhydrase (icfA) (NCBI ptt file)	COG288	P	Carbonic anhydrase			GO:0015976,GO:0004089,GO:0008270	4.2.1.1	Carbonate dehydratase.
18429	NP_206807.1	15644639	11	2719	3402	+	HP0005	pyrF	orotidine 5'-phosphate decarboxylase (pyrF) (NCBI ptt file)	COG284	F	Orotidine-5'-phosphate decarboxylase	TIGR01740 orotidine 5'-phosphate decarboxylase [pyrF]	Purines, pyrimidines, nucleosides, and nucleotides:Pyrimidine ribonucleotide biosynthesis	GO:0006207,GO:0004590	4.1.1.23	Orotidine-5'-phosphate decarboxylase.
18430	NP_206808.1	15644640	11	3403	4233	+	HP0006	panC	pantoate-beta-alanine ligase (panC) (NCBI ptt file)	COG414	H	Panthothenate synthetase	TIGR00018 pantoate--beta-alanine ligase [panC],TIGR00125 cytidyltransferase-related domain	Biosynthesis of cofactors, prosthetic groups, and carriers:Pantothenate and coenzyme A	GO:0015940,GO:0004592	6.3.2.1	Pantoate--beta-alanine ligase.
1937490			11	4322	4250	-	HPt01	tRNA-Glu-1	tRNA-Glu (NCBI)								
1937491			11	4461	4388	-	HPt02	tRNA-Asp-1	tRNA-Asp (NCBI)								
1937492			11	4577	4505	-	HPt03	tRNA-Val-1	tRNA-Val (NCBI)								
1937493			11	4693	4622	-	HPt04	tRNA-Glu-2	tRNA-Glu (NCBI)								
18431	NP_206809.1	15644641	11	4697	4768	+	HP0007	HP0007	hypothetical protein (NCBI ptt file)								
1937494			11	4779	4707	-	HPt05	tRNA-Lys-1	tRNA-Lys (NCBI)								
18432	NP_206810.1	15644642	11	4937	5020	+	HP0008	HP0008	hypothetical protein (NCBI ptt file)								
18433	NP_206811.1	15646197	11	7145	5241	-	HP0009	omp1	outer membrane protein (NCBI ptt file)								
18434	NP_206812.1	15644643	11	9243	7603	-	HP0010	groEL	chaperone and heat shock protein (groEL) (NCBI ptt file)	COG459	O	Chaperonin GroEL (HSP60 family)	TIGR02348 chaperonin GroL [groL]	Protein fate:Protein folding and stabilization	GO:0006457,GO:0044267,GO:0005515,GO:0051082,GO:0005524		
18435	NP_206813.1	15644644	11	9624	9268	-	HP0011	groES	co-chaperone (groES) (NCBI ptt file)	COG234	O	Co-chaperonin GroES (HSP10)			GO:0006457,GO:0005524	1.3.1.-	
18436	NP_206814.1	15644645	11	9911	11590	+	HP0012	dnaG	DNA primase (dnaG) (NCBI ptt file)	COG358	L	DNA primase (bacterial type)	TIGR01391 DNA primase [dnaG]	DNA metabolism:DNA replication, recombination, and repair	GO:0006269,GO:0006304,GO:0003677,GO:0008270,GO:0003896	2.7.7.-	
